,title,rating,reviewCount,category,attributes,address,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday
186,Pub Porta,4.6,190.0,Pub,·  Dine-in  ·  Takeout  ·  No-contact delivery,"Bul. Partizanski Odredi 21/A2-1 MK, Skopje 1000, North Macedonia",+389 71 768 010,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,Closed
187,Shakespeare Coffee Bar,4.6,125.0,Cafe,·  Curbside pickup  ·  Delivery,"Blvd. Partizanski Odredi 23, lok.4, Skopje; 1000, Skopje, North Macedonia",+389 78 217 435,,,,,,,
188,Bistro „Komedija“,4.3,210.0,Bar,·  Delivery,"MK, Boulevard Saint Clement of Ohrid 31, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
189,Млечен бар,4.6,114.0,Bar,·  Dine-in  ·  Takeout,"MK, Ankarska 21, Skopje 1000, North Macedonia",+389 70 303 603,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.
190,Craft Brewery Temov @ Kolektiv,4.3,89.0,Pub,·  Delivery,"11th October, No1, Skopje 1000, North Macedonia",+389 2 321 3099,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,Closed,8a.m.–12a.m.
191,Kozara Bar,5.0,11.0,Bar,,"Kozara 32, Skopje 1000, 1000, North Macedonia",+389 75 449 416,5p.m.–12a.m.,5p.m.–12a.m.,5p.m.–12a.m.,5p.m.–12a.m.,5p.m.–12a.m.,12p.m.–12a.m.,12p.m.–12a.m.
192,Pub 18,4.4,311.0,Pub,·  Dine-in,"Orce Nikolov 139, Skopje 1000, North Macedonia",+389 72 255 850,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,10a.m.–8p.m.
193,Galerija 8 Papilon Bar,4.4,7.0,Bar,,"2C2P+MQ4, Salih Asim, Skopje 1000, North Macedonia",,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.
194,Caffe Bar Iv 1992,5.0,2.0,Bar,,"Leninova 64, Skopje 1000, North Macedonia",+389 78 290 004,7a.m.–1a.m.,7a.m.–1a.m.,7a.m.–1a.m.,7a.m.–1a.m.,7a.m.–1a.m.,9a.m.–1a.m.,4p.m.–1a.m.
195,Skopje bar crawl,4.7,24.0,Tourist attraction,,"Macedonia St, Skopje 1000, North Macedonia",+389 77 791 899,,,,,,,
196,Why Not Bar,5.0,1.0,Bar,,"Boulevard Partizanski Odredi nr. 21, Skopje 1000, North Macedonia",+389 71 393 767,7p.m.–1a.m.,7p.m.–1a.m.,7p.m.–1a.m.,7p.m.–1a.m.,7p.m.–1a.m.,7p.m.–1a.m.,Closed
197,Baraka Lounge Bar,4.2,30.0,Bar,,"Leninova 38, Skopje 1000, North Macedonia",+389 75 238 727,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,8a.m.–12a.m.
198,PASTEUR Coffee & Music Laboratory,4.8,36.0,Bar,,"Todor Aleksandrov Parking Garage, Vasil Glavinov, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,Closed
199,Rakija Bar Stara Kaldrma,3.6,5.0,Bar,,"Arhiepiskop Angelarij, Skopje 1000, North Macedonia",+389 79 218 900,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
200,Mosh,4.1,434.0,Bar,·  Dine-in  ·  Delivery,"MK, Debarca 2, Skopje 1000, North Macedonia",,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,Closed
201,Distrikt,4.5,772.0,Restaurant,·  Dine-in  ·  Takeout  ·  Delivery,"Plostad Makedonija 7, Skopje 1000, North Macedonia",+389 71 238 522,7a.m.–12a.m.,7a.m.–12a.m.,7a.m.–12a.m.,7a.m.–12a.m.,7a.m.–1a.m.,7:30a.m.–1a.m.,7a.m.–12a.m.
202,Donut Bar,4.7,104.0,Bar,·  Takeout,"Orce Nikolov 1000, Skopje 1000, North Macedonia",+389 71 272 868,9:30a.m.–8:30p.m.,9:30a.m.–8:30p.m.,9:30a.m.–8:30p.m.,9:30a.m.–8:30p.m.,9:30a.m.–8:30p.m.,10a.m.–8:30p.m.,Closed
203,Coffee Bar Viking,4.4,157.0,Cafe,·  Delivery,"XCVC+39R, Skopje 1000, North Macedonia",+389 78 349 262,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
204,Hellthy Smoothie Bar,4.3,10.0,Bar,·  Takeout,"Орце Николов бр. 90, North Macedonia",+389 2 310 7852,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,9a.m.–2p.m.,Closed
205,Komitet,5.0,13.0,Gay bar,·  Dine-in  ·  Curbside pickup  ·  Delivery,"Parking garage, Dame Gruev 12 Beko, Local 21, Skopje 1000, North Macedonia",+389 70 311 817,9a.m.–5p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–1a.m.,5p.m.–1a.m.,Closed
206,SOMA Lounge Bar,4.0,21.0,Bar,·  Dine-in,"Mitropolit Teodosij Gologanov 96, Skopje 1000, North Macedonia",+389 70 222 125,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
207,Cantina 43,,,Tapas bar,·  Dine-in  ·  Takeout,"Boulevard Ilinden 93, Skopje 1000, North Macedonia",+389 72 777 770,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
208,OWL Mixology Bar,5.0,39.0,Bar,,"Кеј 13-ти Ноември 1000, Skopje 1000, North Macedonia",+389 75 306 306,3p.m.–12a.m.,3p.m.–12a.m.,3p.m.–12a.m.,3p.m.–12a.m.,3p.m.–1a.m.,4p.m.–1a.m.,Closed
209,Cocktail Bar,4.4,400.0,Oxygen cocktail spot,,,,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,10a.m.–1a.m.,10a.m.–12a.m.
210,Beertija Pub,4.5,410.0,Bar,·  Curbside pickup  ·  Dine-in  ·  Delivery,"MK, Frederic Chopin 4, Skopje 1000, North Macedonia",+389 2 277 9959,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–1a.m.,5p.m.–1a.m.,5p.m.–12a.m.
211,Lokal 45,4.1,166.0,Bar,·  Delivery,"Aminta Treti 30, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12:59a.m.,8a.m.–12:59a.m.,8a.m.–12a.m.
212,Kaldrma,4.7,194.0,Bar,·  Delivery,"2C2C+RMJ, Mihail Cokov, Skopje 1000, North Macedonia",+389 2 322 5734,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.
213,Woodstock Beer Bar,4.7,489.0,Bar,·  Delivery,"Franklin Ruzvelt 5, Skopje 1000, North Macedonia",+389 70 315 495,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,12p.m.–12a.m.
214,Trend,3.9,1824.0,Restaurant,·  Dine-in  ·  Takeout  ·  Delivery,"4, Nikola Vapcarov 2, Skopje 1000, North Macedonia",+389 71 368 846,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
215,Restorant Bar Gypsy,,,Restaurant,·  Dine-in,"Arhiepiskop Angelari no. 24, 1000 Skopje - Macedonia, Arhiepiskop Angelarij, Skopje 1000, North Macedonia",+389 75 600 906,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.
216,Шатор,5.0,1.0,Bar,,"294W+G4V, Radika, Skopje 1000, North Macedonia",,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
217,Izlet,4.3,702.0,Cafe,·  Takeout  ·  Delivery,"Nikola Trimpare 15, Skopje 1000, North Macedonia",+389 76 909 909,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.
218,Che,4.7,823.0,Coffee shop,·  Delivery,"2, Kosturski Heroi 15, Skopje 1000, North Macedonia",+389 78 383 893,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12p.m.
219,Вински бар Ла Барба Просциутериа / La Barba Prosciutteria Wine Bar,4.8,25.0,Wine bar,·  Dine-in,"MK, Boulevard Ilinden 93/lokal 1, Skopje 1000, North Macedonia",+389 72 600 604,12p.m.–12a.m.,12p.m.–12a.m.,12p.m.–12a.m.,12p.m.–12a.m.,12p.m.–1a.m.,12p.m.–1a.m.,12–11p.m.
220,Maestro Bar,4.1,28.0,Restaurant,·  Dine-in,"XCWP+V4W, Iljo Vojvoda, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
221,Manda Coffee bar,4.6,59.0,Cafe,·  Delivery,"XCWH+Q8V, 27-ми Март, Skopje 1000, North Macedonia",+389 70 217 337,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12:30a.m.,9a.m.–12a.m.,9a.m.–12a.m.
222,Sterna Cafe,5.0,3.0,Bar,,"Naroden Front 19a, Skopje 1000, North Macedonia",+389 70 223 843,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,Closed
223,Tribeca Restaurant & Bar,4.5,659.0,Restaurant,·  Dine-in  ·  Takeout  ·  Delivery,"Public Enterprise ""Parks and Greenery"", Boulevard Ilinden 1000, Skopje 1000, North Macedonia",+389 70 303 413,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
224,Nargile Lounge Cafe,4.0,74.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"Jorgandziska, Skopje 1000, North Macedonia",+389 71 393 999,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
225,Concept 37,4.5,440.0,Bar,·  Delivery,"Franklin Ruzvelt 37, Skopje 1000, North Macedonia",+389 77 624 304,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
226,Coffee Bar Philharmony,4.6,45.0,Bar,,"MK, Crvena Skopska Opstina бр. 10, Skopje 1000, North Macedonia",,,,,,,,
227,Lounge Bar Bis,4.5,536.0,Cafeteria,·  Dine-in  ·  Takeout,"Ul. Dragisha Mishkovic bb Скопје MK, 1000, North Macedonia",+389 2 614 8812,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
228,Leninova 29 All Day Bar,,,Cocktail bar,,"Leninova 1000, Skopje 1000, North Macedonia",+389 71 990 440,,,,,,,
229,Brick Eat Restaurant & Bar,4.2,362.0,Restaurant,·  Dine-in  ·  Takeout  ·  No-contact delivery,"Kej 13. Noemvri, Skopje 1000, North Macedonia",+389 76 220 858,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.
230,Street Pub,,,Bar,,"XCVC+HGV, Sv. Kiril i Metodij, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,1p.m.–1a.m.
231,Hip Hop Cafe,5.0,3.0,Bar,·  Dine-in  ·  Curbside pickup  ·  Delivery,"MK, Orce Nikolov 93, Skopje 1000, North Macedonia",+389 77 698 486,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.,8a.m.–9p.m.
232,Morris Caffe Bar,4.7,11.0,Bar,·  Takeout  ·  Dine-in  ·  Delivery,"ul. Zivko Cingo 8a, 1000, North Macedonia",+389 2 317 0570,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
233,Craft beer,5.0,3.0,Bar,,"2C2P+577, Samoilova, Skopje 1000, North Macedonia",,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
234,Multi Sandwich Bar,5.0,2.0,Cafe,·  Dine-in  ·  Takeout,"Karposh, Skopje 1000, Skopie 1000, North Macedonia",+389 71 336 306,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–3p.m.,Closed
235,Caffe Bar Studio 54,3.9,116.0,Cafe,·  Delivery,"XCVJ+C3M, Skopje 1000, North Macedonia",+389 71 333 660,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
236,Club Epicentar,4.3,46.0,Night club,,"Boulevard Saint Clement of Ohrid 60a, Skopje 1000, North Macedonia",+389 2 321 4061,Closed,Closed,Closed,11p.m.–4a.m.,11:30p.m.–5a.m.,11:30p.m.–5a.m.,Closed
237,Tinex To Go Coffee Bar,4.5,92.0,Cafe,·  Dine-in  ·  Takeout,"XCVC+428, Skopje 1000, North Macedonia",+389 78 235 699,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,Closed
238,Кафе бар Само / Samo Caffe Bar,4.7,179.0,Cafe,·  Delivery,"Orce Nikolov 75, Skopje 1000, North Macedonia",+389 70 270 599,4p.m.–12a.m.,4p.m.–12a.m.,4p.m.–12a.m.,4p.m.–12a.m.,5p.m.–1a.m.,5p.m.–1a.m.,4p.m.–12a.m.
239,Forza Wine Bar & Restaurant,4.2,1669.0,Restaurant,·  Dine-in  ·  Takeout  ·  Delivery,"Лондонска 12a, Skopje 1000, North Macedonia",+389 2 307 1200,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
240,THREE MONKEYS,4.4,73.0,Coffee shop,·  Dine-in  ·  Takeout  ·  Delivery,"MK, Boulevard 8-mi Septemvri 7/6, Skopje 1000, North Macedonia",+389 70 804 903,,,,,,,
241,Enigmatic Snack Bar,5.0,2.0,Restaurant,·  Dine-in  ·  Takeout,"Orce Nikolov 155, Skopje 1000, North Macedonia",+389 78 268 150,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,Closed
242,Bruklinski,4.4,316.0,Bistro,·  Dine-in  ·  Takeout,"Orce Nikolov 75, Skopje 1000, North Macedonia",+389 2 609 1844,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–12a.m.
243,Ревија,4.1,586.0,Restaurant,·  Dine-in  ·  Takeout,"MK MK, Blvd. Partizanski Odredi 62, Skopje 1000, North Macedonia",+389 70 222 817,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
244,Fruttissimo Juice Bar,4.4,31.0,Salad shop,·  Dine-in  ·  Takeout,"Gjuro Gjakovik 18, Skopje 1000, North Macedonia",+389 78 331 040,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,Closed,Closed
245,Bistro Cocktail Bar,5.0,2.0,Bar,,"XCWJ+385, Macedonia St, Skopje 1000, North Macedonia",+389 70 903 933,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.
246,Crash Bar,4.9,29.0,Bar & grill,·  Dine-in  ·  Takeout,"Boulevard Saint Clement of Ohrid br.18, Skopje 1000, North Macedonia",+389 77 919 510,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,10a.m.–1a.m.,Closed
247,Three Kitchen & Bar,4.3,418.0,Restaurant,·  Dine-in  ·  Takeout,"50-та Дивизија 25, Skopje 1000, North Macedonia",+389 70 282 788,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,Closed
248,Catch 22,,,Bar,·  Dine-in,"Kej 13ti Noemvri 2A, 1000, North Macedonia",+389 78 290 676,,,,,,,
249,BAZA - БАЗА,5.0,2.0,Bar,,"Arhiepiskop Angelarij 1A, Skopje 1000, North Macedonia",+389 70 890 116,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,Closed
250,Sevgul malo,,,Bar,,"XCXG+753, Skopje 1000, North Macedonia",,,,,,,,
251,Cafè,,,Bar,,"Skopje 1000, Skopje 1000, North Macedonia",,,,,,,,
252,Martini Caffe,4.4,1234.0,Cafe,·  Dine-in  ·  Takeout,"2C32+72G, Skopje 1000, North Macedonia",+389 2 306 1127,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
253,Rock Kafana Rustikana 2.0,4.6,1220.0,Restaurant,·  Dine-in  ·  Curbside pickup  ·  Delivery,"MK, Boulevard Ilinden 94, Skopje 1000, North Macedonia",+389 75 478 134,,,,,,,
254,ShortBus,4.6,212.0,Cafe,·  Delivery,"XCXF+5VM, Skopje 1000, North Macedonia",,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,12p.m.–12a.m.
255,Night Club Saloon,4.3,112.0,Night club,·  Curbside pickup  ·  Dine-in  ·  Delivery,"XCVG+F34, Skopje 1000, North Macedonia",+389 75 441 436,9p.m.–4a.m.,9p.m.–4a.m.,9p.m.–4a.m.,9p.m.–4a.m.,9p.m.–4a.m.,9p.m.–4a.m.,9p.m.–4a.m.
256,Oeno Wine Bar & Deli,4.6,183.0,Wine bar,·  Dine-in  ·  Curbside pickup  ·  No-contact delivery,"MK, Boulevard Ilinden 160, Skopje 1000, North Macedonia",+389 2 309 0100,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.,9a.m.–11:30p.m.
257,Badu Bar,4.7,1000.0,Bar,·  Takeout  ·  Dine-in  ·  Delivery,"Булевар Партизански Одреди локал13 149, Skopje 1000, North Macedonia",,8a.m.–11:45p.m.,8a.m.–11:45p.m.,8a.m.–11:45p.m.,8a.m.–11:45p.m.,8a.m.–12:45a.m.,8a.m.–12:45a.m.,8a.m.–11:45p.m.
258,Krug Café,4.4,666.0,Cafe,·  Curbside pickup  ·  Delivery,"Naum Naumovski Borche 79, Skopje 1000, North Macedonia",+389 2 311 9447,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
259,oui,,,Bar,,"Orce Nikolov 90, Skopje 1000, North Macedonia",,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,10a.m.–6p.m.,Closed
260,PUBLIC LAB caffe bar,,,Bar,,"Mitropolit Teodosij Gologanov 32, Skopje 1000, North Macedonia",,,,,,,,
261,Sugar Cube corner,4.5,12.0,Bar,,"Петричка, Skopje 1000, North Macedonia",+389 75 446 862,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,9a.m.–11p.m.,Closed
262,INSIDE BAR,4.4,8.0,Bar,,"Mitropolit Teodosij Gologanov 34a, Skopje 1000, North Macedonia",+389 76 915 575,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–12a.m.,10a.m.–1a.m.,10a.m.–1a.m.,Closed
263,Phoenix Coffee Bar,4.9,14.0,Cafe,,"Московска 7, Skopje 1000, North Macedonia",+389 77 743 063,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,10a.m.–10p.m.
264,HealthyWealthyBar,5.0,12.0,Bar,,"MK, Bagdadska 15, Skopje 1000, North Macedonia",+389 78 232 201,9a.m.–9p.m.,9a.m.–9p.m.,9a.m.–9p.m.,9a.m.–9p.m.,9a.m.–9p.m.,9a.m.–7p.m.,Closed
265,Sistem Pub,4.7,203.0,Bar,,"XFQ5+RX3, Boulevard Jane Sandanski, Skopje 1000, North Macedonia",+389 2 244 7033,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–12a.m.
266,Mraz bar,,,Bar,,"2C4R+286, Skopje 1000, North Macedonia",,,,,,,,
267,The Hut,4.9,14.0,Bar,,"Ul, Dimche Mirchev 4, Skopje 1000, North Macedonia",+389 71 277 297,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
268,Food Bar Trend,3.7,1605.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"Ljubljanska br4, Skopje 1000, North Macedonia",+389 70 306 425,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–11:30p.m.,9a.m.–12a.m.,9a.m.–11:30p.m.,9a.m.–12a.m.
269,Bravo Coffee bar,4.1,7.0,Espresso bar,,"XCXQ+RHH, Skopje 1000, North Macedonia",+389 77 496 265,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,12p.m.–12a.m.
270,La Cafeteria,4.7,6.0,Bar,,"Boulevard 8mi Septemvri br.18, Skopje 1000, North Macedonia",+389 71 334 041,8a.m.–6p.m.,8a.m.–6p.m.,8a.m.–6p.m.,8a.m.–6p.m.,8a.m.–6p.m.,9a.m.–2p.m.,9a.m.–2p.m.
271,Corner Bar & Kitchen,4.5,70.0,Bar & grill,·  Dine-in,"Blvd. Partizanski Odredi 151, Skopje 1000, North Macedonia",+389 70 377 454,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.,8:30a.m.–1a.m.
272,Skara Bar,4.5,809.0,Restaurant,·  Dine-in  ·  Takeout,"Varsavska 70, Skopje 1000, North Macedonia",+389 75 727 110,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,12–8p.m.
273,Bar Industrial,,,Bar,,"XCVC+5CH, Naroden Front, Skopje 1000, North Macedonia",+389 75 321 725,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
274,Restaurant Kaj Pero,4.4,577.0,Restaurant,·  Dine-in  ·  Takeout  ·  Delivery,"Orce Nikolov 109, Skopje 1000, North Macedonia",+389 2 323 2898,Closed,2p.m.–12a.m.,2p.m.–12a.m.,2p.m.–12a.m.,2p.m.–1a.m.,2p.m.–1a.m.,2p.m.–12a.m.
275,1Sh Lounge Bar,4.4,218.0,Restaurant,·  Dine-in  ·  Takeout  ·  Delivery,"MK, Lazo trpovski bb, Skopje 1000, North Macedonia",+389 78 297 297,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
276,Bella Vista - Lounge Bar & Restaurant,4.2,1575.0,Italian restaurant,·  Dine-in  ·  Takeout,"Kej 13 noemvri, Skopje, North Macedonia",+389 78 255 842,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
277,Кафе Бар Лонгплеј,4.7,616.0,Bar,·  Curbside pickup  ·  Delivery,"Boulevard Jane Sandanski 84, Skopje 1000, North Macedonia",+389 70 317 436,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
278,Lounge Bar Četiri,5.0,2.0,Bar,,"Karposh, Skopje 1000, North Macedonia",+389 77 890 212,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
279,Lounge Bar & Night Club Aliens,4.8,8.0,Lounge,,"293R+QPP, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,10a.m.–8p.m.
280,Four,4.5,544.0,Restaurant,·  Dine-in  ·  Takeaway,"Str. 1732 No. 4 Skopje Skopje MK, 1000, North Macedonia",+389 72 828 180,7AM–12AM,7AM–12AM,7AM–12AM,7AM–12AM,7AM–12AM,7AM–1AM,7AM–1AM
